Year and category,"GDP (current), $million","GDP (chained 2009 dollars), $million","Per capita GDP (current), $","Per capita GDP (chained 2009 dollars), $",Resident population
1963,2367,NA,3471,NA,682000
1964,2571,NA,3673,NA,700000
1965,2849,NA,4047,NA,704000
1966,3110,NA,4380,NA,710000
1967,3307,NA,4574,NA,723000
1968,3722,NA,5071,NA,734000
1969,4262,NA,5736,NA,743000
1970,4813,NA,6309,NA,762920
1971,5188,NA,6554,NA,791580
1972,5624,NA,6874,NA,818104
1973,6353,NA,7546,NA,841851
1974,7143,NA,8324,NA,858121
1975,8173,NA,9340,NA,875052
1976,8526,NA,9555,NA,892335
1977,9441,NA,10310,NA,915749
1978,10508,NA,11313,NA,928816
1979,11869,NA,12493,NA,950050
1980,13380,NA,13826,NA,967710
1981,14640,NA,14966,NA,978195
1982,15740,NA,15839,NA,993780
1983,17260,NA,17043,NA,1012717
1984,19132,NA,18612,NA,1027922
1985,20722,NA,19931,NA,1039698
1986,22437,NA,21333,NA,1051762
1987,24273,"32,376     ",22729,"30,317     ",1067917
1988,26799,"34,587     ",24818,"32,030     ",1079827
1989,29427,"36,643     ",26884,"33,477     ",1094588
1990,32534,"39,176     ",29218,"35,183     ",1113491
1991,34357,"39,756     ",30224,"34,973     ",1136754
1992,36129,"40,834     ",31183,"35,244     ",1158613
1993,36732,"40,152     ",31319,"34,235     ",1172838
1994,37395,"40,062     ",31490,"33,735     ",1187536
1995,37763,"39,552     ",31552,"33,047     ",1196854
1996,38125,"39,132     ",31672,"32,508     ",1203755
1997,39064,"39,064     ",32241,"32,241     ",1211640
1997,37915,"53,473     ",31292,"44,133     ",1211640
1998,37627,"51,790     ",30963,"42,618     ",1215233
1999,39177,"52,482     ",32370,"43,363     ",1210300
2000,41247,"53,443     ",33990,"44,040     ",1213519
2001,42789,"53,338     ",34903,"43,507     ",1225948
2002,45185,"54,910     ",36451,"44,296     ",1239613
2003,48559,"57,425     ",38811,"45,897     ",1251154
2004,53306,"61,090     ",41856,"47,967     ",1273569
2005,58123,"64,325     ",44961,"49,759     ",1292729
2006,61684,"65,914     ",47097,"50,326     ",1309731
2007,64967,"67,167     ",49379,"51,051     ",1315675
2008,66728,"67,754     ",50088,"50,858     ",1332213
2009,65275,"65,275     ",48470,"48,470     ",1346717
2010,67740,"66,911     ",49673,"49,065     ",1363731
2011,70058,"67,956     ",50881,"49,355     ",1376897
2012,72653,"68,977     ",52265,"49,620     ",1390090
2013,75095,"69,968     ",53484,"49,833     ",1404054
2014,77389,"70,532     ",54516,"49,686     ",1419561
